name;num_price;price_installments;date;site
Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Navy;2.042;em 1x cartão cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud White;2.077;em 1x cartão cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Lavender;2.090;em 1x cartão cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Mint;2.042;em 1x cartão cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 Fe 256GB 4G Wi-Fi Tela 6.5'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Cloud Lavender;2.699;em 1x cartão cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 Fe 256GB 4G Wi-Fi Tela 6.5'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Cloud Mint;2.699;em 1x cartão cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 fe - 256GB;2.999;10x de R$ 299,90 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 fe - 256GB;2.999;10x de R$ 299,90 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 Fe 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Cloud Orange;3.332;10x de R$ 333,22 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 fe - 256GB;2.999;10x de R$ 299,90 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 fe 128GB - Vitrine;3.249;10x de R$ 324,90 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 fe - 256GB;2.999;10x de R$ 299,90 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 fe 128GB - Lavanda, Processador Qualcomm Snapdragon 865 - 2.8GHz, 4G, Câmera Frontal 32MP, ram 6GB, Tela 6.5 (SM-G780GLVRZTO);2.887;10x de R$ 288,79 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Galaxy S20 Fe 3 Câmeras + Selfie 6 gb ram 128 gb;4.299;10x de R$ 429,99 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 fe 128GB, 6GB ram, Tela Infinita de 6.5, Câmera Traseira Tripla;3.989;10x de R$ 398,90 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 + 128GB 4G Wi-Fi Tela 6.7'' Dual Chip 8GB ram Câmera Quádrupla + Selfie 10MP - Cosmic Gray;3.999;10x de R$ 399,99 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 + 128GB 4G Wi-Fi Tela 6.7'' Dual Chip 8GB ram Câmera Quádrupla + Selfie 10MP - Cosmic Black;3.999;10x de R$ 399,99 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy Z Flip3 5G, dobrável, 128GB, 8GB de ram, Tela de 6.7;5.999;10x de R$ 599,90 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S21 Ultra 256GB 5G Wi-Fi Tela 6.8'' Dual Chip 12GB ram Câmera Quádrupla + Selfie 40MP - Preto;7.299;10x de R$ 729,99 sem juros no cartão de crédito;11/03/2022;submarino
Smartphone Samsung Galaxy S20 Fe 256GB 4G Wi-Fi Tela 6.5'' Dual Chip 8GB RAM Câmera Tripla + Selfie 32MP - Cloud Navy;2.699;em 1x cartão cartão de crédito;11/03/2022;submarino
